ClientId,distance,risk_score,risk_level,reason,anomaly,high_amount_flag,high_variance_flag,high_frequency_flag,total_amount,avg_transaction,total_transactions,suspicious
2183,3.885564480969296,4,HIGH,"Anomalous behavior, High transaction variance, High transaction frequency",True,False,True,True,13.592499497872714,11.646596847045771,7,True
14220,4.29060903404795,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.067329566784148,10.125726895176859,140,True
14905,4.518505680629429,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,17.76670820817688,11.68221721803118,439,True
14912,4.375826729095209,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.606473209817667,9.162446692344378,629,True
90372,5.462982903711074,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,15.393588837033372,11.655927679813908,42,True
40259,4.362609011010764,4,HIGH,"Anomalous behavior, High transaction amount, High transaction variance",True,True,True,False,18.304671518164657,12.283652784337637,412,True
2644,4.801679249450645,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.291994259743715,7.80578814580031,1784,True
9905,5.2222890912956075,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.575664492317872,9.715911933297585,129,True
39088,6.390512727367695,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.627109101338647,12.258143442059584,1586,True
14908,5.062609453755121,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,19.07605048282153,12.520697235928687,703,True
3310,5.361439493876635,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.878519159195815,8.336545177467933,1886,True
4747,4.948875680625065,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.029236277618612,7.6494565958591325,1604,True
10154,8.084148694802694,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.130098460218429,7.546869784897288,1966,True
12195,4.2182347918289365,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.588959219579612,9.413173422408253,481,True
10649,6.4327351182065975,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,17.04644010001682,9.376562746248746,2143,True
10627,4.833186048283426,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,16.89014288322444,9.414318416669724,1765,True
13403,5.749862014965305,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.81942872369272,7.212287978803767,2014,True
137678,9.601630421594976,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.624019868373667,6.647692134905153,2915,True
97843,4.923629298636148,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.885782221545005,7.450924910081127,1695,True
181626,10.996576971802677,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.958167865624697,6.821861931310198,3420,True
206569,3.955157782449831,5,CRITICAL,"Anomalous behavior, High transaction amount, High transaction variance, High transaction frequency",True,True,True,True,14.951629591781328,10.717544918563178,69,True
148935,3.9968419872582635,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.17869369275566,8.42198102880807,860,True
149308,4.9291178465097,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,14.626441316402678,7.136149342202764,1792,True
177175,4.138042173452938,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.337911270529883,8.345133505060765,1089,True
140655,11.710469176669832,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.337258747020211,7.152412855061206,3589,True
150369,4.76030817119658,4,HIGH,"Anomalous behavior, High transaction amount, High transaction frequency",True,True,False,True,15.602937321229685,10.559537981338996,155,True
